ABV,Brewery,Description,IBU,Name,Rating,Style,URL
4.5 º,Hordago,"Hordago Cuélebre
La mezcla de cebada y trigo junto con lúpulos de aroma cítrico y la piel de naranja amarga hacen que esta cerveza sea fácil de beber y muy refrescante.
Ideal para aplacar la sed o para subir los ánimos.",4.5 º,Hordago Cuélebre,,Witbier,/cervezas/hordago-cuelebre
11 º,Fermun Beers,"Malalts de Malta
Quadrupel tipo trapense con cerezas negras cuya producción requiere maltas especiales belgas y azúcar candy. Necesita una buena levadura belga además de guarda. Ofrece notas licorosas, uva pasa, frutos secos y recuerdos a cereza.
Esta ... Ver más se envejece por más de 2 años. Ver menos",11 º,Fermun Beers Malalts de Malta,,Belgian Dark Strong Ale,/cervezas/fermun-beers-malalts-de-malta
"starstarstarstar_halfstar_border 3,50",MarinaBrouwerij Het Nest,"Het Nest / Marina Full Of Hops Belgian Trippel IPA
Full Of Hops Trippel","starstarstarstar_halfstar_border 3,50",Het Nest / Marina Full Of Hops Belgian Trippel IPA,,Belgian Tripel,/cervezas/het-nest---marina-full-of-hops-belgian-trippel-ipa
4.7 º,Marbel,Marbel Porter,4.7 º,Marbel Porter,,Porter,/cervezas/marbel-porter
,Les Canyes,"Kölsch Fargo de Pepe Cubillo (QuoNos) Casa rural  Les Canyes, Primer premio ACCE 2014",,Les Canyes Kölsch Fargo,,Kölsch,/cervezas/les-canyes-kolsch-fargo
"5,7% IBU",Cervezas Medina,Edicion especial para la feria de Noblejas 2012.,"5,7% IBU",Medina Febrerita,,Oktoberfest-Marzen,/cervezas/medina-febrerita
25 IBU,La Quince Brewery,"La Quince Trípel Giraffe
Colaboración con Dioni (Cerveza de Garaje)",25 IBU,La Quince Trípel Giraffe,,Belgian Tripel,/cervezas/la-quince-tripel-giraffe
"starstarstarstarstar_border 3,90",Sullerica Cervesa Artesana,"Sullerica Nadalenca
Edición especial
Cervesa d´alta fermentació especiada lleugerament dolça. Pensada per acompanyar els plats tipics de les festes de Nadal o per gaudir-la tota sola.
Con anís, canela, almendra y clavo","starstarstarstarstar_border 3,90",Sullerica Nadalenca,,Christmas-Winter Specialty Spiced Beer,/cervezas/sullerica-nadalenca
"starstarstar_halfstar_borderstar_border 2,50",Es Molí de Foc,Grahame Pearce De Blat (de trigo)Antes conocida como La ClimentinaCervesa de blatCerveza de trigo,"starstarstar_halfstar_borderstar_border 2,50",Grahame Pearce Sant Climent De Blat,,Weizen-Weissbier,/cervezas/grahame-pearce-sant-climent-de-blat
8 º,Garage Beer Co,"Squirrel Men
West coast DIPA
West coast DIPA de 8% ABV feta amb llúpols citra i simcoe. t’esperem aquest dijous al c / consell de cent 261 per tastar aquesta i dues emocionants llançaments, DJ en viu, bon menjar i com sempre 12 aixetes amb una ... Ver más de les nostres birres favorites.
--------------------
West coast DIPA de 8% ABV hecha con lúpulos citra y simcoe. te esperamos este jueves en c/ consell de cent 261 para probar esta y dos emocionantes lanzamientos, DJ en vivo, buena comida y como siempre 12 grifos con una selección de nuestras birras favoritas
---------------------
West coast DIPA of 8% ABV brewed w/ citra & simcoe hops. come over this thursday to c/ consell de cent 261 and try this and 2 more exciting releases, live dj, amazing food and, like always 12 taps of our favourite selection Ver menos",8 º,Garage Beer Co Squirrel Men,,Imperial IPA,/cervezas/garage-beer-co-squirrel-men
55 IBU,Falken BrewingSesma Brewing,"Falken Brewing / Sesma Sour Pang Barrica
Versión de la Sour Pang añejada en barrica, más fina, ligera, y con un interesante perfil de vino blanco y madera. Busca las botellas con lacre rojo en tu garito favorito!",55 IBU,Falken Brewing / Sesma Sour Pang Barrica,,Sour Ale,/cervezas/falken-brewing---sesma-sour-pang-barrica
33 IBU,BrewByCode,"BlueScreenOfDeath
Brut IPA",33 IBU,BrewByCode BlueScreenOfDeath,,India Pale Ale,/cervezas/brewbycode-bluescreenofdeath
31 IBU,Another Planet Brewing,"The Dark Side Imperial Porter
Dark and tempting, rich chocolatey and vanilla aromas draw you in. Intense flavours of licorice, coffee, and chocolate insist that you embrace The Dark Side.",31 IBU,Another Planet The Dark Side,,Baltic Porter,/cervezas/another-planet-the-dark-side
"starstarstarstarstar_half 4,50",Bayura,"Bayura Mexu de Trasgu India Pale Ale doble carga de lúpulo
Aromática con marcados matices cítricos y tropicales, aparecen tambien toques de resina de pino y de bosque. En boca es amarga, con recuerdos resinosos, cítricos y ligeramente minerales. ... Ver más seco y bien amargo. Ver menos","starstarstarstarstar_half 4,50",Bayura Mexu de Trasgu,,Imperial IPA,/cervezas/bayura-mexu-de-trasgu
4.7 º,La Nena,"La Nena IPA
Color anaranjado, burbuja fina y espuma consistente. Intenso aroma con matices cítricos y herbales, con notas afrutadas tropicales y fruta de la pasión, con un trasfondo de malta caramelizada.
Sabor dulce, de entrada destacan las notas ... Ver más que hemos notado en nariz y notas cítricas para dar paso a las maltas pale y caramelo. De cuerpo medio, tiene un final y postgusto agradablemente amargor. Ver menos",4.7 º,La Nena IPA,,India Pale Ale,/cervezas/la-nena-ipa
120 IBU,Laugar BreweryMalte,"Demon Cleaner
West Coast IPA
De la mano de cervezoteca Malte y del estudio de diseño Dead Flag surge: “The Desert Series: a tribute to the raw, fuzzy, acid and psychedelic sounds”, dedicada a grandes bandas del género que comienza con los grandísimos ... Ver más y con una carga extrema de lúpulos Cascade, Centennial, Chinook, Simcoe y Equanot. Un estilo ya clásico y atemporal para una banda clásica y atemporal.  Ver menos",120 IBU,Laugar / Malte Demon Cleaner,,American IPA,/cervezas/laugar---malte-demon-cleaner
40 IBU,Cervezas Artesanas Quijota,"Una cerveza de moderada graduación alcohólica, elaborada con una combinación de maltas pálidas y torrefactas que le confieren un sabor a la vez suave e intenso.
La interpretación manchega de este estilo consigue una extraordinaria bebilidad y ... Ver más rica gama de matices, tanto de color como de textura, desde el color marrón de su cremosa espuma, hasta el toque afrutado de la fermentación alta que no oculta el suave amargor de los lúpulos ingleses utilizados y el sutil toque torrefacto con recuerdos a café de una auténtica Stout. Ver menos",40 IBU,Quijota Negra,,Stout,/cervezas/quijota-negra
30 IBU,Yria,"Brutalism
Brut IPA
Brutalism es una cerveza de color amarillo brillante. En aroma muy presente la fruta y en boca muy compensado el toque amargo de una brut IPA con la frescura y dulzura que posee.
",30 IBU,Yria Brutalism,,Brut IPA,/cervezas/yria-brutalism
74 IBU,Tibidabo Brewing,"Tibidabo Brewing Flipa
IPA
Nuestro homenaje al estilo más popular de la tendencia cerveza artesana actual. Un torrente de lúpulos americanos nos brinda aromas cítricos y de pino. Un final limpio y una combinación de lúpulos satisfará al amante ... Ver más lúpulo más exigente. Una west coast american IPA hecha en la west coast del Mediterráneo. Ver menos",74 IBU,Tibidabo Brewing Flipa,,India Pale Ale,/cervezas/tibidabo-brewing-flipa
