,Name,Style,Description
0,La Vella Caravana / Black Bitch Caravan of Bitches ,Witbier - 5.2 º - 29 IBU,"Caravan of Bitches
Hoppy Wheat Ale
Estilo tradicional elaborado con malta pilsner, trigo y avena. Este estilo se caracteriza por las adiciones de cascara de naranja amarga y semillas de cilantro."
1,BlackLab Sour Lady ,Berliner Weisse - 5 º,"Sour Lady
Berliner Weisse with fruit
Una cerveza ácida con frambuesas.
---------------
Sour beer with raspberries"
2,Blacklab Claudia Passion ,American IPA,"Claudia Passion
Fruit IPA
Nuestra mejor cerveza con Maracuyá
--------------
Our best IPA with passion fruit"
3,BlackLab More Sparkle ,Brut IPA - 7 º,"More Sparkle
Brut IPA
Dry and aromatic. Low bitterness.
-----------
Muy seca y aromática. Poco amargor."
4,Greyhound Brewers Give ’em Hops ,Imperial IPA - 8 º,"Give ’em Hops
Doble NEIPA"
5,"Greyhound Brewers Slave of New Hops starstarstarstarstar_border 3,76 ",American IPA - 6.7 º - 50 IBU,"Slave of New Hops
IPA"
6,Greyhound Brewers Born Of The Hops ,American IPA,"Born Of The Hops
West Coast IPA
Born Of The Hops, una West Coast IPA amarga, herbal, resinosa, como las de antes... Simcoe, Cascade y Columbus para saciar tu dependencia al lúpulo!"
7,"Engorile King Hop starstarstarstarstar_border 3,82 ",Imperial IPA - 8.5 º - 204 IBU,"King Hop
Imperial IPA
King Hop es una cerveza de cuerpo, mucho cuerpo, cómo marca el estilo. Color anaranjado, extremadamente turbia. En nariz es potente, predominante el aroma tropical gracias a su triple Dry Hop de 20,5 gramos/litro y a la combinación de lúpulos de los cuales predomina el  ..."
8,Castelló Beer Factory Malaspina Brown Ale ,Brown Ale - 5.5 º - 22 IBU,"Malaspina Brown Ale
Brown Ale
Cerveza tostada elaborada de manera artesanal a partir de una selección de maltas de cebada, dando como resultado una cerveza de color cobrizo oscuro, con un sabor suave y un amargor equilibrado, presentando un intenso aroma tostado con notas de lúpulo y una espu ..."
9,"Castelló Beer Factory / Althaia Fifth Element starstarstarstarstar_border 4,20 ",Imperial IPA - 7 º,"Fifth Element
Quintuple Dry Hopped Doble IPA Cerveza extra producida en casa CBF con la colaboración de Althaia. x5 Dry Hopping con 5 de los lúpulos más potentes del mercado añadidos en 5 adiciones diferentes durante la fermentación: Mosaic, Citra, Nelson Sauvin, Simcoe y Amarillo. Una sop ..."
10,"Drunken Bros / De Molen Kthulhu starstarstarstarstar_border 4,18 ",Imperial Stout - 11 º,"Kthulhu
Imperial Hazelnut Stout
Colaboración con los grandes Brouwerij de Molen. Kthulhu es la primera de nuestra nueva serie de cervezas Nightmare Series.
Ilustracion de Antonio Bravo"
11,Gross Zero IBU IPA ,American IPA - 5.8 º,Zero IBU IPA
